nome;nazionale;ruolo;quotazione
KHOUKHI;QATAR;D;7
KHUSANOV;UZBEKISTAN;D;3
KIM JG;COREA DEL SUD;C;6
KIM MH;COREA DEL SUD;D;3
KIM MIN-JAE;COREA DEL SUD;D;7
KIM SG;COREA DEL SUD;P;1
KIM TH;COREA DEL SUD;D;4
KIMMICH;GERMANIA;D;13
KLUIVERT;OLANDA;A;16
KOBEL;SVIZZERA;P;13
KOKCU;TURCHIA;C;15
KOLASINAC;BOSNIA;D;6
KONAN;IVORY COAST;D;4
KONATE I;FRANCIA;D;10
KONE;FRANCIA;C;7
KONE IS;CANADA;C;4
KONE M;IVORY COAST;P;1
KONSA;INGHILTERRA;D;14
KOOPMEINERS;OLANDA;C;8
KOSSOUNOU;IVORY COAST;D;6
KOTARSKI;CROAZIA;P;1
KOULIBALY;SENEGAL;D;8
KOUNDE;FRANCIA;D;9
KOVACIC;CROAZIA;C;9
KOVAR;REPUBBLICA CECA;P;8
KRAMARIC;CROAZIA;A;25
KREJCI L;REPUBBLICA CECA;D;10
KUBO;GIAPPONE;C;16
KUCHTA J;REPUBBLICA CECA;A;6
KUWAS;CURACAO;C;3
LACROIX;FRANCIA;D;6
LACROIX D;HAITI;D;6
LAFONT;IVORY COAST;P;1
LAGERBIELKE;SVEZIA;P;1
LAIMER;AUSTRIA;C;11
LAJAMI;ARABIA SAUDITA;D;6
LAMMENS;BELGIO;P;1
LANG;OLANDA;A;15
LANGAS S;NORVEGIA;D;4
LAPORTE;SPAGNA;D;8
LARIN;CANADA;A;10
LARYEA;CANADA;D;5
LASHEEN M;EGITTO;C;6
LAYE;QATAR;C;2
LEAO;PORTOGALLO;A;20
LECKIE;AUSTRALIA;C;3
LEE DG;COREA DEL SUD;C;4
LEE GH;COREA DEL SUD;D;3
LEE HB;COREA DEL SUD;D;4
LEE JS;COREA DEL SUD;C;5
LEE KI;COREA DEL SUD;C;10
LEE TS;COREA DEL SUD;D;6
LENINI K;CAPO VERDE;C;5
LERMA;COLOMBIA;C;7
LEWELING;GERMANIA;A;10
LIENHART;AUSTRIA;D;7
LINDELOF;SVEZIA;D;6
LIRA E;MESSICO;C;3
LIVAKOVIC;CROAZIA;P;14
LIVRAMENTO;INGHILTERRA;D;10
LIVRAMENTO DR;CAPO VERDE;A;12
LJUBICIC;AUSTRIA;C;3
LLORENTE M;SPAGNA;C;10
LO CELSO;ARGENTINA;C;8
LOCADIA;CURACAO;A;5
LOMBA NETO;PORTOGALLO;A;18
LONDONO A;PANAMA;A;4
LOPES R;CAPO VERDE;D;5
LOPEZ;ARGENTINA;A;6
LUCKASSEN;GHANA;D;4
LUCUMI;COLOMBIA;D;5
LUIZ DIAZ;COLOMBIA;A;28
LUIZ HENRIQUE;BRASILE;A;15
LUKAKU;BELGIO;A;26
LUKEBAKIO;BELGIO;C;10
LUKIC L;BOSNIA;C;3
MAC ALLISTER;ARGENTINA;C;7
MACHADO MENA;COLOMBIA;D;10
MACHINO;GIAPPONE;C;6
MADIBO;QATAR;C;4
MADUEKE;INGHILTERRA;A;21
MAEDA;GIAPPONE;A;11
MAGALHAES;BRASILE;D;11
MAHBOOB;ARABIA SAUDITA;C;8
MAHMAUD H;TUNISIA;C;2
MAHMIC E;BOSNIA;C;3
MAHREZ;ALGERIA;A;6
MAIDANA;PARAGUAY;D;3
MAIGNAN;FRANCIA;P;17
MAINOO;INGHILTERRA;C;7
MAJID HA;EGITTO;C;4
MAKGOPA;SUDAFRICA;A;8
MAKHANYA;SUDAFRICA;D;3
MAKNZI;IRAQ;D;2
MALEN;OLANDA;A;25
MALIK;BOSNIA;D;3
MALO GUSTO;FRANCIA;D;10
MANDASH S;ARABIA SAUDITA;C;2
MANDI;ALGERIA;D;4
MANE;SENEGAL;A;22
MANZAMBI J;SVIZZERA;C;11
MARGARITHA;CURACAO;A;8
MARMOUSH;EGITTO;A;23
MARQUINHOS;BRASILE;D;8
MARTHA;CURACAO;D;3
MARTINELLI;BRASILE;A;20
MARTINEZ;PANAMA;C;3
MARTINEZ E;ARGENTINA;P;16
MARTINEZ EM;URUGUAY;C;3
MARTINEZ G;MESSICO;A;6
MARTINEZ L;ARGENTINA;A;30
MARTINEZ LI;ARGENTINA;D;8
MASEKO;SUDAFRICA;A;1
MASHARIPOV;UZBEKISTAN;C;3
MASTIL;ALGERIA;P;1
MASTOURI;TUNISIA;A;7
MASUAKO;CONGO;D;4
MATANOVIC I;CROAZIA;A;7
MATETA;FRANCIA;A;20
MATULUDI;SUDAFRICA;D;2
MAURICIO;PARAGUAY;C;4
MAYELE F;CONGO;A;14
MAZA;ALGERIA;C;6
MAZRAOUI;MAROCCO;D;8
MBAPPE;FRANCIA;A;40
MBATHA;SUDAFRICA;C;6
MBAYE I;SENEGAL;C;3
MBEMBA C;CONGO;D;5
MBOKAZI;SUDAFRICA;D;4
MBUKU;CONGO;A;2
MCCOWATT;NUOVA ZELANDA;C;7
MCGINN;SCOZIA;C;8
MCKENNA;SCOZIA;D;5
MCKENNIE;USA;C;8
MCKENZIE M;USA;D;6
MCLEAN;SCOZIA;C;9
MCTOMINAY;SCOZIA;C;18
MECHELE;BELGIO;D;10
MEDINA;ARGENTINA;D;8
MEDINA Q;PANAMA;C;2
